3
59
ID,Name,Value
Enemy_Priority,描画優先度,80
Enemy_Speed_WalkPattern,通常移動のスピードパターン,0.1
Enemy_Speed_DashPattern,走行移動のスピードパターン,0.15
Enemy_Walk_Dis,歩行状態を開始する距離,30.0
Enemy_Dash_Dis,走行状態を開始する距離,60.0
Enemy_Walk_Dis_Max,歩行状態を終了する距離,50.0
Enemy_Dash_Dis_Max,走行状態を終了する距離,80.0
Enemy_Attack_Dis,攻撃可能になる距離,3.2
Enemy_Attack_Reception,当たり判定の発生,26.0
Enemy_Attack_Outreception,当たり判定の終了,60.0
Enemy_Attack_Walk_Rand,歩行状態からの攻撃行動発生の確率,30
Enemy_Attack_Dash_Rand,走行状態からの攻撃行動発生の確率,25
Enemy_Damage_PlayerSp1,敵の攻撃1与ダメージ,10
Enemy_Damage_PlayerSp2,敵の攻撃2与ダメージ,10
Enemy_Damage_PlayerSp3,敵の攻撃3与ダメージ,15
Enemy_Idle_Animation_Frame,待機アニメーションフレーム,60.0
Enemy_Move_Animation_Frame,歩行アニメーションフレーム,60.0
Enemy_Dash_Animation_Frame,走行アニメーションフレーム,50.0
Enemy_Attack1_Animation_Frame,攻撃1アニメーションフレーム,150.0
Enemy_Attack2_Animation_Frame,攻撃2アニメーションフレーム,130.0
Enemy_Attack3_Animation_Frame,攻撃3アニメーションフレーム,140.0
Enemy_Knockback_Animation_Frame,ノックバックアニメーションフレーム,60.0
Enemy_Death_Animation_Frame,死亡アニメーションフレーム,60
Enemy_Animation_No_Attack_1,攻撃アニメーション1番号,0
Enemy_Animation_No_Attack_2,攻撃アニメーション2番号,1
Enemy_Animation_No_Attack_3,攻撃アニメーション3番号,2
Enemy_Animation_No_Walk,歩行アニメーション番号,3
Enemy_Animation_No_Dash,走行アニメーション番号,4
Enemy_Animation_No_Idle,待機アニメーション番号,5
Enemy_Animation_No_Knockback,ノックバックアニメーション番号,6
Enemy_Animation_No_Death,死亡アニメーション番号,7
Enemy_Position_X,X座標,0.0
Enemy_Position_Y,Y座標,1.5
Enemy_Position_Z,Z座標,-20.0
Enemy_Scale_X,モデルのスケール設定X座標,3.0
Enemy_Scale_Y,モデルのスケール設定Y座標,2.63
Enemy_Scale_Z,モデルのスケール設定Z座標,2.0
Enemy_Rotation_X,モデルの回転設定X座標,0.0
Enemy_Rotation_Y,モデルの回転設定Y座標,0.0
Enemy_Rotation_Z,モデルの回転設定Z座標,0.0
Enemy_Gravity,敵の重力,0.9
Enemy_Hp,敵のHP,150
Enemy_Hp_Max,敵のHP最大値,150
Enemy_Death_Hp,敵の死亡条件,0

